Twitter Username,Stripped Name,Handle
Gerry Connolly,Gerry Connolly,GerryConnolly
Johnny Isakson,Johnny Isakson,SenatorIsakson
HouseRulesCommittee,HouseRulesCommittee,RulesReps
Sen. Lamar Alexander,Lamar Alexander,SenAlexander
Rep. Robert Aderholt,Robert Aderholt,Robert_Aderholt
John Kline,John Kline,repjohnkline
Cong. Mike Simpson,Mike Simpson,CongMikeSimpson
Foreign Affairs Cmte,Foreign Affairs Cmte,HouseForeign
Pat Roberts,Pat Roberts,SenPatRoberts
"Bill Pascrell, Jr.",Bill Pascrell,BillPascrell
House Armed Services,House Armed Services,HASCDemocrats
Ted Poe,Ted Poe,JudgeTedPoe
Senator Bob Corker,Bob Corker,SenBobCorker
Kirsten Gillibrand,Kirsten Gillibrand,SenGillibrand
Louise Slaughter,Louise Slaughter,louiseslaughter
Foreign Affairs Cmte,Foreign Affairs Cmte,HFACDemocrats
Tom Udall,Tom Udall,SenatorTomUdall
Rep. Adam Smith,Adam Smith,RepAdamSmith
Mike Quigley,Mike Quigley,RepMikeQuigley
Dr. Phil Roe,Dr. Phil Roe,DrPhilRoe
US Rep. Mike Turner,Mike Turner,RepMikeTurner
Rep. John Larson,John Larson,RepJohnLarson
Tom McClintock,Tom McClintock,RepMcClintock
Steve King,Steve King,SteveKingIA
Chaka Fattah,Chaka Fattah,chakafattah
Sen. Jeff Sessions,Jeff Sessions,SenatorSessions
Mimi Walters,Mimi Walters,RepMimiWalters
Brian Schatz,Brian Schatz,brianschatz
Sherrod Brown,Sherrod Brown,SenSherrodBrown
Financial Services,Financial Services,FinancialCmte
Rep. Alan Grayson,Alan Grayson,AlanGrayson
Congressman Nadler,Nadler,RepJerryNadler
Mike Doyle,Mike Doyle,USRepMikeDoyle
Robin Kelly ,Robin Kelly,Robin42CD
Rep. Doris Matsui,Doris Matsui,DorisMatsui
Bob Goodlatte,Bob Goodlatte,RepGoodlatte
Mario Diaz-Balart,Mario Diaz-Balart,MarioDB
Rep. Don Young,Don Young,repdonyoung
Luis V. Gutierrez,Luis Gutierrez,RepGutierrez
Maxine Waters,Maxine Waters,MaxineWaters
T&I Committee,T&I Committee,Transport
Pedro Pierluisi,Pedro Pierluisi,pedropierluisi
Randy Neugebauer,Randy Neugebauer,RandyNeugebauer
Mike Rogers,Mike Rogers,RepMikeRogersAL
Dennis Ross,Dennis Ross,RepDennisRoss
Brian Higgins,Brian Higgins,RepBrianHiggins
Jose E. Serrano,Jose Serrano,RepJoseSerrano
Amy Klobuchar,Amy Klobuchar,amyklobuchar
Rep. Greg Walden,Greg Walden,repgregwalden
Rep. Frank Pallone,Frank Pallone,FrankPallone
Jim Himes,Jim Himes,jahimes
Ways and Means Dems,Ways and Means Dems,WaysMeansCmte
House OversightDems,House OversightDems,OversightDems
